Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,Data,Order,Aktien,USD,SNPS,"2024-01-02, 09:30:02",-2,507.26,498.97,1014.52,-2,-1123.14,-110.62,16.58,C
Transaktionen,SubTotal,,Aktien,USD,SNPS,,-2,,,1014.52,-2,-1123.14,-110.62,16.58,
Transaktionen,Data,Order,Aktien,USD,SPOT,"2024-03-11, 09:32:23",-7,254.55,254.45,1781.85,-2,-1358.67,421.18,0.7,C
Transaktionen,SubTotal,,Aktien,USD,SPOT,,-7,,,1781.85,-2,-1358.67,421.18,0.7,
Transaktionen,Data,Order,Aktien,USD,SPXC,"2024-04-04, 13:37:38",20,123.1,120.59,-2462,-2,2464,0,-50.2,O
Transaktionen,Data,Order,Aktien,USD,SPXC,"2024-04-09, 10:33:04",-20,119.685,122.34,2393.7,-2,-2464,-72.3,-53.1,C
Transaktionen,SubTotal,,Aktien,USD,SPXC,,0,,,-68.3,-4,0,-72.3,-103.3,
Transaktionen,Data,Order,Aktien,USD,STRA,"2024-01-03, 10:32:29",16,93.515,92.5,-1496.24,-2,1498.24,0,-16.24,O
Transaktionen,Data,Order,Aktien,USD,STRA,"2024-02-13, 15:14:07",-16,94.62,95.2,1513.92,-2,-1498.24,13.68,-9.28,C
Transaktionen,SubTotal,,Aktien,USD,STRA,,0,,,17.68,-4,0,13.68,-25.52,
Transaktionen,Data,Order,Aktien,USD,TPC,"2024-05-17, 13:18:48",250,19.82,19.68,-4955,-2.5,4957.5,0,-35,O
Transaktionen,Data,Order,Aktien,USD,TPC,"2024-05-31, 10:20:15",-250,22.5,22.06,5625,-2.5,-4957.5,665,110,C
Transaktionen,SubTotal,,Aktien,USD,TPC,,0,,,670,-5,0,665,75,
Transaktionen,Data,Order,Aktien,USD,TRV,"2024-02-29, 12:16:25",10,219.31,220.96,-2193.1,-2,2195.1,0,16.5,O
Transaktionen,Data,Order,Aktien,USD,TRV,"2024-04-09, 10:37:17",-10,225.31,223.84,2253.1,-2,-2195.1,56,14.7,C
Transaktionen,SubTotal,,Aktien,USD,TRV,,0,,,60,-4,0,56,31.2,
Transaktionen,Data,Order,Aktien,USD,TT,"2024-05-14, 12:10:36",15,327.75,330.06,-4916.25,-2,4918.25,0,34.65,O
Transaktionen,Data,Order,Aktien,USD,TT,"2024-05-16, 10:35:45",-15,325.94,324.72,4889.1,-2,-4918.25,-31.15,18.3,C
Transaktionen,SubTotal,,Aktien,USD,TT,,0,,,-27.15,-4,0,-31.15,52.95,
Transaktionen,Data,Order,Aktien,USD,UCTT,"2024-03-06, 13:33:50",30,46.03,46.18,-1380.9,-2,1382.9,0,4.5,O;P
Transaktionen,Data,Order,Aktien,USD,UCTT,"2024-03-12, 10:16:47",-30,44.86,46,1345.8,-2,-1382.9,-39.1,-34.2,C
Transaktionen,SubTotal,,Aktien,USD,UCTT,,0,,,-35.1,-4,0,-39.1,-29.7,
Transaktionen,Data,Order,Aktien,USD,V,"2024-03-26, 12:45:20",8,282.27,280.6,-2258.16,-2,2260.16,0,-13.36,O
